udm,ru
- Дондыкар школаысь математикаен дышетӥсь И,Дондыкаров в школе и научил математику
- Дондыкар школаысь биологиен но химиен дышетӥсь И,Дондыкаров в школе биологии и химии научил и
Галина Сунцова,Галина Сунцова
Мукетыз быжме адӟиз,Хвостов видел другой
Тон милемыз вунэтӥд ... »,мы забыли
Уг валаськы на номырзэ но мон,"Ещ не понимаю ничего , и я"
Кытын мон ?,Где я
- Ужаськомы кык бадӟым программая,Сегодня работают две больших программы
Иосиф Зотовичлэсь кабинетаз ужтэк пукемзэ ноку уд адӟы,"Иосиф Зотович сидел в кабинете , не видел завтра Иосиф Зотович сидел вчера в кабинете , не видел"
Лариса Гурьянова,Лариса Гурьянова
Елена Тугашова,Елена Тугашова
Чайковскийлэсь « Лебединое озеро » балетъёссэ,"Лебединое озеро , балет"
Елена Сараматова,Елена Сараматова
Уйин сайканы,Проснулся ночью
Секыт оген,Одна тяжесть
Александр Васильевич соку кивалтӥз Ижысь удмурт драмкружокен,Александр Васильевич тогда руководил Удмуртским драмкружком в Ижевске
